index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
43357,2020-02-04 00:00:04.928,884807918353023385,,103.114.76.178,ID,-,-,23679,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1618 variation/193481,Firefox 20.0.0.1618,iOS 11.2.6,mobile,False,false,false
43358,2020-02-04 00:00:05.413,-4487656526836742758,,81.167.146.94,NO,Rogaland,Vedavagen,29695,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 ( like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36,Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,false,false
43359,2020-02-04 00:00:12.944,8867836087593621682,,92.48.88.244,GB,-,-,29550,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 ( like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36,Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,false,false
43362,2020-02-04 00:00:15.859,5223169828328110747,,92.48.89.149,GB,-,-,29550,Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 ( like Gecko Falkon/3.0.1 Chrome/69.0.3497.17.19.128 Safari/537.36,Chrome 69.0.3497.17.19,Chrome OS 5978.98.0,desktop,True,false,false
43363,2020-02-04 00:00:17.794,3665023165573689610,,84.208.129.101,NO,Viken,Drammen,41164,Mozilla/5.0  (iPhone; CPU iPhone OS 8_0 like Mac OS X) AppleWebKit/537.36 ( like Gecko Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.6.5-go,MiuiBrowser 12.6.5,iOS 8.0,mobile,True,false,false
43364,2020-02-04 00:00:22.918,4715119499006103658,,45.124.7.134,BG,-,-,45775,Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1618 (Chrome variation/193364,Firefox 20.0.0.1618,iOS 11.2.6,mobile,True,false,false
43365,2020-02-04 00:00:25.810,-5751730141980736824,,89.162.92.121,NO,Nordland,Bodø,29695,Mozilla/5.0  (X11; CrOS x86_64 13505.73.0) AppleWebKit/537.36 ( like Gecko Chrome/72.0.3626.56.121 Safari/537.36,Chrome 72.0.3626.56,Chrome OS 13505.73.0,desktop,True,false,false
43366,2020-02-04 00:00:28.231,-4324475583306591935,,152.93.93.75,NO,Rogaland,Jorpeland,29695,Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 ( like Gecko Version/4.0 Mobile Safari/533.1 variation/277457,Android 2.3.3.2672,iOS 7.1,mobile,False,false,false
43367,2020-02-04 00:00:29.785,-4324475583306591935,,92.221.192.163,BR,-,-,29695,Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 ( like Gecko Version/4.0 Mobile Safari/533.1 variation/277457,Android 2.3.3.2672,iOS 7.1,mobile,False,false,false
43368,2020-02-04 00:00:31.806,-4324475583306591935,,10.3.68.69,ID,Bali,Denpasar,59142,Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; en-us) AppleWebKit/534.46 ( like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3 variation/276698,Mobile Safari 5.1,iOS 4.3,mobile,False,false,false
